ID,Year,Averate,TotalrateNO
298,2002,3.1,455
299,2001,3.7,76944
300,1997,2.5,112
301,2003,2.6,175
302,2001,2.8,879
303,1959,3.1,225
304,1997,3.8,3427
305,1996,3.6,12820
306,2005,3.1,197
307,2002,3.5,122
308,1974,2.8,200
309,1975,3.1,453
310,2000,3.4,445
311,1994,3.6,24835
312,2000,3.7,65477
313,2000,3.7,99812
314,1985,3.4,514
315,1964,3.3,109
316,1999,4.3,2520
317,1997,3.0,94
318,1994,2.3,95
319,1987,3.0,119
320,1997,2.8,124
321,2004,2.7,144
322,1974,2.6,898
323,1999,2.4,712
324,1994,3.1,391
325,2004,4.2,1121
326,1937,3.3,165
327,1997,3.2,178
328,2002,2.9,197
329,1999,3.6,66266
330,1998,3.5,27038
331,1997,3.6,47167
332,2002,2.3,149
333,2003,3.8,393
334,2005,3.6,39875
335,1981,2.2,149
336,1978,3.2,199
337,1983,3.0,2293
338,1942,3.9,1402
339,1968,3.8,553
340,1998,2.9,178
341,2004,3.1,1862
342,2001,3.7,1358
343,2000,3.2,92
344,1967,3.7,2604
345,1998,4.1,4175
346,2005,3.1,485
347,1989,2.4,108
348,1988,3.4,12739
349,1978,2.5,583
350,1993,3.8,1151
351,1969,2.9,129
352,1997,2.6,119
353,2002,3.3,20460
354,1981,2.3,142
355,1973,2.0,150
356,2005,3.1,1870
357,2003,3.5,77314
358,1979,3.5,3008
359,2003,4.2,4580
360,1999,2.4,2231
361,2004,3.6,35849
362,2000,2.5,3936
363,2002,3.0,1643
364,2004,2.9,123
365,1989,3.2,260
366,2004,3.5,350
367,2003,3.1,12437
368,1986,3.4,1395
369,2000,2.9,962
370,1918,3.1,484
371,1966,3.9,2004
372,1998,2.4,148
373,2000,2.8,85
374,1976,3.3,243
375,2003,3.0,2064
376,2001,3.4,193
377,1979,2.5,112
378,2003,2.8,8185
379,1996,2.6,158
380,1992,3.1,529
381,1991,3.4,6660
382,2004,3.1,158
383,2001,2.7,223
384,1986,3.7,1438
385,2002,3.6,9368
386,1994,2.9,1469
387,1984,3.5,588
388,1990,2.3,217
389,2002,3.1,391
390,1981,2.7,5242
391,1967,3.5,572
392,1993,3.2,60
393,1998,3.3,11893
394,1916,3.6,1617
395,1935,4.0,1822
396,2001,3.1,204
397,1946,3.9,748
398,1976,2.7,3565
399,2001,2.3,125
400,1970,3.8,3693
401,1989,3.6,3246
402,1999,3.2,122
403,2000,3.1,440
404,2001,2.5,458
405,1987,3.8,7121
406,2005,3.8,48617
407,1972,2.7,219
408,1990,3.4,2821
409,1966,3.5,447
410,1998,3.9,1009
411,1999,2.9,203
412,1999,3.1,320
413,2002,3.4,29909
414,1999,2.9,1428
415,2002,1.8,126
416,2003,3.0,11256
417,1986,3.9,1465
418,2004,2.7,2061
419,2005,3.9,601
420,1999,3.7,4495
421,2003,4.0,987
422,1964,3.4,5498
423,1963,3.0,296
424,1998,3.6,14120
425,2000,3.7,4532
426,2001,3.2,4217
427,1990,2.9,2681
428,2004,2.8,115
429,1997,3.4,1219
430,2002,4.0,1546
431,2002,3.5,3449
432,1996,4.0,2714
433,1993,3.6,10043
434,2004,3.5,138
435,1996,2.9,343
436,1985,3.8,3485
437,2005,3.3,165
438,1997,3.0,3712
439,1961,3.2,688
440,2003,2.9,107
441,1968,3.8,340
442,1988,3.9,25292
443,2002,4.0,36515
444,2001,3.2,90
445,1996,3.5,7534
446,1995,2.8,719
447,1986,3.4,91
448,2001,3.2,189
449,2003,3.0,90
450,2000,3.4,137
451,1993,4.2,1112
452,2002,2.9,2430
453,1992,3.5,426
454,1995,3.9,1833
455,1999,3.8,784
456,1996,3.7,2450
457,2004,3.9,116762
458,2001,3.5,355
459,1996,3.5,7271
460,1971,2.2,344
461,2000,3.5,544
462,2005,4.0,778
463,1962,4.1,2286
464,1987,2.8,82
465,1995,2.9,100
466,1990,3.7,362
467,1941,3.6,1055
468,2003,3.5,60415
469,1998,2.8,105
470,2001,2.4,579
471,1931,4.1,4500
472,1998,3.1,515
473,1997,4.0,23602
474,1998,3.6,3035
475,1993,3.0,1041
476,2004,4.1,2027
477,1990,4.0,2241
478,1962,3.3,431
479,1988,3.9,1772
480,1997,2.6,359
481,2002,3.1,376
482,2002,3.8,56504
483,2001,3.5,90010
484,1992,3.5,232
485,1967,3.6,1326
486,1959,3.7,3900
487,1968,3.7,277
488,2001,3.7,3247
489,1998,3.6,4826
490,1999,2.9,873
491,1966,3.4,288
492,1984,3.0,1723
493,1972,2.6,106
494,1983,4.0,27601
495,2000,3.1,539
496,2004,3.7,235
497,2003,3.5,575
498,1989,4.1,282
499,2000,3.0,5788
500,2002,3.6,532
501,1975,3.8,15179
502,2003,3.7,1577
503,2005,3.6,251
504,1964,4.1,2343
505,1997,3.1,2375
506,1976,2.8,157
507,1966,3.6,1309
508,1979,3.0,194
509,2004,2.5,186
510,2004,3.2,184
511,2002,2.8,1713
512,2000,2.8,297
513,1995,2.1,424
514,2000,3.8,867
515,2005,1.3,132
516,2001,3.8,20181
517,2001,3.5,6567
518,1969,3.8,2268
519,1979,3.7,341
520,2004,3.9,175
521,1927,2.7,132
522,1999,3.3,320
523,1969,3.0,294
524,1999,3.3,6136
525,1999,2.0,145
526,1994,2.9,581
527,1985,2.3,271
528,2005,3.0,28454
529,1998,3.4,489
530,1987,2.4,156
531,1996,3.1,406
532,1988,3.3,1057
533,1991,3.1,5915
534,2000,3.2,5317
535,1960,3.5,6110
536,2001,2.8,416
537,1991,3.5,187
538,2003,2.7,202
539,1987,3.8,228
540,2003,3.4,162
541,1998,2.5,104
542,1997,1.9,171
543,1999,3.3,1209
544,1987,3.7,153
545,2002,3.5,338
546,2005,2.6,156
547,1992,3.2,599
548,1991,3.0,7739
549,1955,2.6,72
550,1995,3.5,33797
551,1994,3.3,14822
552,1994,3.0,730
553,1995,3.2,599
554,1972,3.2,5890
555,1996,4.0,1050
556,1999,3.0,629
557,1991,2.5,173
558,1994,3.3,577
559,1940,3.5,115
560,2003,4.2,1706
561,1963,3.9,2800
562,2002,2.4,86
563,2001,3.5,10846
564,1990,3.2,10825
565,2002,3.2,132
566,1996,3.1,651
567,2003,2.8,180
568,1999,3.0,184
569,1979,3.5,4350
570,2000,2.9,262
571,1999,4.0,154832
572,1962,3.2,560
573,1983,3.3,204
574,1960,3.2,108
575,1994,4.1,2122
576,2000,3.8,647
577,1961,4.2,2094
578,1963,2.4,234
579,1973,4.0,2047
580,1971,3.1,8265
581,1993,3.3,84
582,1986,3.0,2213
583,1959,3.3,155
584,1998,3.1,1008
585,1995,3.8,1983
586,1995,3.3,2336
587,1983,3.8,528
588,1990,3.4,2053
589,2000,2.3,599
590,2001,3.4,177
591,2003,2.9,514
592,1974,2.0,137
593,2000,2.7,92
594,2002,2.6,294
595,2001,4.2,1622
596,1999,3.0,1161
597,1977,2.5,216
598,1973,3.4,247
599,1989,3.5,9746
600,1966,3.2,2910
601,1992,3.3,406
602,2000,2.8,1192
603,1997,3.6,401
604,2005,3.3,115
605,2000,2.9,238
606,1968,3.3,844
607,1994,3.5,100248
608,1970,2.4,68
609,2002,3.8,770
610,1999,2.5,104
611,2004,2.0,146
612,1946,3.1,254
613,1965,3.2,580
614,1993,3.1,142
615,1999,3.5,13788
616,1983,3.3,114
617,2004,3.8,795
618,1994,2.6,361
619,1980,3.9,266
620,2003,3.6,670
621,1997,3.9,8552
622,1991,3.0,347
623,1986,3.0,239
624,2004,3.3,1094
625,1999,1.5,596
626,1941,3.7,297
627,1971,3.0,98
628,2003,3.5,664
629,1984,3.6,11816
630,1977,2.6,245
631,2005,3.7,8299
632,1972,3.0,728
633,1993,3.2,421
634,1989,4.2,1532
635,1971,2.6,141
636,1980,3.5,13719
637,2001,3.5,696
638,1985,3.5,4165
639,2002,3.1,191
640,1992,3.1,437
641,1968,3.7,1199
642,1990,3.7,1236
643,2002,3.1,3280
644,1994,3.0,302
645,2004,3.9,8685
646,1987,3.9,4035
647,1960,3.4,691
648,2003,3.5,170
649,1999,3.0,80
650,2002,2.7,439
651,1997,2.9,144
652,1996,3.3,5129
653,2000,2.6,136
654,1975,2.6,85
655,1965,3.5,817
656,2004,2.7,119
657,1996,4.0,1930
658,1991,3.6,44001
659,1972,2.8,2989
660,2000,3.8,20801
661,2002,3.3,3441
662,1995,3.6,11409
663,1999,4.2,811
664,1997,2.3,357
665,1976,2.7,207
666,2000,3.2,351
667,1965,3.8,1104
668,2004,3.9,6364
669,1986,2.4,79
670,2002,3.5,7567
671,1989,3.2,478
672,1991,3.1,4446
673,1999,3.8,1332
674,1988,3.4,7637
675,2004,3.2,179
676,1998,3.1,2388
677,2001,3.7,6351
678,1965,3.3,282
679,1990,3.1,88
680,2000,3.0,2697
681,1986,3.5,4086
682,1998,3.7,4766
683,1951,2.9,138
684,1995,2.6,174
685,1999,3.4,1063
686,2000,3.1,14669
687,2003,3.0,133
688,2003,3.2,324
689,1998,3.4,8694
690,2004,4.0,929
691,1999,3.0,188
692,1992,3.5,32828
693,1996,3.1,2406
694,2000,3.8,885
695,2004,2.8,166
696,1996,3.4,7094
697,2000,3.3,209
698,1997,2.5,79
699,2004,3.8,359
700,1997,3.6,4684
701,2002,1.9,322
702,1996,2.9,209
703,2004,3.7,194
704,1998,3.0,162
705,1989,3.6,38680
706,1991,3.5,667
707,2003,3.5,2276
708,2000,3.4,72381
709,1998,3.7,363
710,1993,4.1,257
711,1994,3.6,14759
712,1998,4.1,898
713,1987,3.1,130
714,1988,2.2,76
715,1950,3.7,503
716,1958,3.2,102
717,2004,2.9,1951
718,2003,3.3,1747
719,1997,3.0,814
720,1989,3.8,26718
721,1994,2.5,343
722,2003,4.1,5955
723,1991,3.0,14038
724,1992,4.4,1223
725,2004,3.6,5132
726,1990,2.1,168
727,1959,2.7,133
728,1977,3.0,182
729,2000,2.4,214
730,1988,3.8,4468
731,1997,2.5,1994
732,2005,3.2,2563
733,1988,3.4,2686
734,1992,3.8,6715
735,2003,3.1,197
736,2002,2.2,315
737,2004,3.3,107
738,1999,2.8,590
739,2001,2.7,938
740,1988,2.8,126
741,1988,3.4,419
742,2002,2.8,215
743,1994,3.2,459
744,1998,2.9,106
745,1979,2.3,113
746,2001,3.5,24127
747,1996,3.7,104
748,2002,3.7,3637
749,1990,2.2,3305
750,2004,3.5,2071
751,1998,3.2,9560
752,1993,4.3,8669
753,1964,4.0,159
754,1984,3.2,2036
755,1989,3.5,1008
756,2000,2.6,87
757,1984,3.1,124
758,2004,3.5,104362
759,2001,3.2,16856
760,2005,3.9,9312
761,2000,2.7,2063
762,2004,4.0,2335
763,1972,3.5,11917
764,1983,3.7,654
765,1994,2.5,217
766,1959,3.1,405
767,2001,3.2,314
768,1995,3.3,659
769,1958,3.3,111
770,1996,3.2,168
771,1999,3.1,388
772,1998,2.7,69
773,2001,2.9,532
774,2003,4.2,2475
775,1999,3.6,478
776,1953,3.0,1356
777,1944,3.8,612
778,2003,3.9,126
779,2000,2.5,427
780,2003,3.8,397
781,2004,3.6,741
782,1998,2.4,95
783,2001,3.4,1203
784,1995,3.5,224
785,1981,3.2,387
786,1966,3.4,508
787,1972,2.5,82
788,1994,3.8,58527
789,1991,3.8,31537
790,2000,2.8,365
791,2000,3.5,388
792,2004,2.9,120
793,2004,3.5,207
794,1992,3.1,809
795,1997,3.1,211
796,1976,2.9,449
797,1959,3.1,320
798,1975,3.9,81278
799,2003,4.1,1104
800,1971,2.4,154
801,2001,2.7,158
802,1928,3.3,100
803,2001,2.4,363
804,1944,3.8,609
805,1968,3.8,296
806,1960,3.5,996
807,1959,3.6,3061
808,1998,3.2,3713
809,2002,3.5,3888
810,1958,3.0,105
811,1992,3.0,11548
812,2001,3.2,122
813,2000,3.3,142
814,2000,3.4,429
815,1959,3.1,239
816,2001,3.5,101
817,1980,3.5,4850
818,1976,3.5,14384
819,1998,3.1,15786
820,2005,2.0,45
821,1972,2.7,119
822,2001,4.1,3812
823,1988,3.1,277
824,1977,3.8,938
825,1983,4.1,5872
826,1998,3.1,172
827,1994,3.0,167
828,1991,3.0,217
829,1995,3.2,9092
830,1994,2.9,133
831,1987,3.2,19563
832,2003,3.8,3494
833,1996,3.5,8378
834,1999,2.7,372
835,1994,3.2,637
836,1991,3.5,791
837,1972,3.9,1244
838,2003,2.5,598
839,1945,4.1,917
840,1941,3.8,3556
841,1994,3.0,150
842,1942,3.5,579
843,1999,3.7,11401
844,2001,2.9,180
845,2004,3.6,236
846,2004,2.7,3598
847,2001,3.7,245
848,1994,3.0,369
849,1990,3.3,1527
850,2002,3.4,2095
851,1990,3.9,25100
852,1989,3.0,569
853,1993,2.8,465
854,1984,2.2,157
855,2001,2.5,457
856,2000,2.6,385
857,1963,3.7,1487
858,2002,3.2,552
859,1982,3.5,11076
860,2001,2.6,129
861,2003,3.9,573
862,2002,3.5,19351
863,1990,3.5,295
864,2001,2.7,213
865,2005,3.8,255
866,1975,3.4,825
867,2003,2.9,135
868,1996,3.5,636
869,1998,3.1,113
870,2005,2.4,137
871,1984,4.0,1420
872,1954,4.2,31691
873,2003,2.7,1231
874,2004,3.4,102
875,1998,3.1,196
876,2001,3.5,186
877,1999,3.5,439
878,2000,2.4,92
879,1976,2.9,458
880,1994,3.9,1671
881,1999,3.1,1132
882,1996,2.8,82
883,1992,3.6,4536
884,1991,2.9,95
885,2003,3.3,462
886,2004,4.2,108606
887,2005,3.1,241
888,2001,2.6,109
889,2004,4.1,2914
890,1999,3.2,358
891,2003,3.7,287
892,1965,3.6,642
893,2003,3.9,780
894,1999,2.8,4844
895,1975,3.9,2467
896,1995,3.4,30593
897,2004,3.3,12356
898,2000,3.1,1226
899,2003,3.5,189
900,1994,3.9,11177
901,1950,3.7,591
902,2004,2.4,600
903,2000,3.2,108
904,2004,2.5,198
905,2005,2.0,146
906,1969,3.4,856
907,1930,4.0,4900
908,1981,4.2,11038
909,1990,3.0,338
910,1940,3.2,136
911,1939,3.0,539
912,2002,3.2,322
913,1979,3.4,168
914,1996,3.1,122
915,2001,2.8,43
916,1994,3.6,442
917,2003,3.5,112
918,1964,3.9,7574
919,2002,3.2,10834
920,1968,2.5,113
921,1952,3.3,785
922,2004,2.9,203
923,2004,3.4,113
924,1981,2.8,93
925,1936,3.6,729
926,2002,2.2,109
927,1991,3.5,217
928,1997,2.7,343
929,2002,3.4,908
930,1987,3.2,638
931,1998,3.1,1809
932,1992,2.3,153
933,2005,4.0,263
934,1954,3.4,1366
935,2003,4.2,726
936,1990,3.1,169
937,1998,3.7,23691
938,2002,2.0,180
939,2003,3.9,161
940,1997,3.7,18464
941,1998,2.2,161
942,1994,3.0,3254
943,2004,3.9,1753
944,1975,2.7,89
945,1952,3.0,113
946,2002,2.5,141
947,1965,3.7,1026
948,2002,2.7,136
949,1997,3.4,1676
950,1998,2.6,91
951,2001,3.5,332
952,1940,4.0,2410
953,1966,3.4,7000
954,2003,3.3,8089
955,1997,3.2,264
956,1994,2.6,3037
957,1966,3.7,615
958,2003,3.6,264
959,2002,3.0,194
960,1960,3.5,1072
961,1957,3.5,2370
962,2002,3.1,21284
963,1951,3.9,37310
964,2001,3.7,2876
965,1985,3.6,324
966,1996,3.3,196
967,2004,3.6,866
968,1993,2.7,107
969,1995,2.1,132
970,2004,3.0,203
971,2002,3.8,3137
972,2003,3.6,228
973,1994,3.6,225
974,1941,3.6,626
975,1997,2.0,130
976,2003,3.7,166
977,2000,2.8,2076
978,2000,3.3,2255
979,1990,2.9,128
980,1994,3.6,1227
981,1989,3.0,314
982,2001,3.8,1563
983,1997,2.5,497
984,1958,3.4,1713
985,1999,3.6,89999
986,2002,3.5,3638
987,1978,2.8,95
988,1951,3.8,1839
989,2004,3.1,18298
990,1941,3.8,2958
991,1997,3.7,359
992,1972,3.9,6210
993,1994,3.1,3337
994,1984,3.2,13253
995,2004,1.7,104
996,1961,4.0,11858
997,1963,3.3,302
998,2002,3.3,446
999,1994,2.7,1156
1000,2002,3.3,760
1001,2001,3.3,6204
1002,2001,3.4,152
1003,2001,2.3,59
1004,2003,3.1,1309
1005,2003,3.0,536
1006,1996,4.0,925
1007,1996,3.3,106
1008,1996,3.8,970
1009,1997,3.0,127
1010,2004,3.0,142
1011,1983,3.3,8027
1012,1960,3.6,7497
1013,2005,3.4,254
1014,1993,2.8,258
1015,1996,3.9,870
1016,1976,2.2,103
1017,1955,4.2,1499
1018,1960,3.3,383
1019,2001,2.4,138
1020,1989,4.3,20762
1021,1984,3.7,3439
1022,1993,3.3,3868
1023,1997,3.1,425
1024,1976,3.5,861
1025,2004,3.0,316
1026,1985,3.4,7688
1027,1993,3.4,19960
1028,2003,2.8,105
1029,1995,2.9,833
1030,1974,3.2,170
1031,1999,4.0,1450
1032,1992,3.8,3782
1033,1999,2.7,1016
1034,2000,2.5,116
1035,1994,3.5,17696
1036,1999,3.3,210
1037,1978,2.8,1054
1038,2000,3.5,305
1039,1997,3.3,1621
1040,2004,3.5,251
1041,2000,3.7,1021
1042,1996,3.3,722
1043,1987,3.3,4847
1044,1968,3.4,2997
1045,1988,3.6,2582
1046,2003,3.4,40744
1047,2000,3.6,2617
1048,1997,3.0,804
1049,1991,2.7,559
1050,1982,3.7,14149
1051,1994,3.3,1430
1052,1952,3.1,137
1053,1997,2.5,80
1054,1986,2.5,116
1055,1977,3.3,1817
1056,1962,3.1,254
1057,1989,3.5,178
1058,1972,3.8,5439
1059,2000,1.8,181
1060,2005,2.9,8135
1061,2004,3.5,1003
1062,1974,3.1,641
1063,1995,3.2,418
1064,1983,2.9,95
1065,2001,2.5,335
1066,1978,3.8,34941
1067,1956,3.4,1364
1068,1998,3.3,6282
1069,2003,3.9,836
1070,2000,2.8,341
1071,1995,2.5,248
1072,2000,4.4,389
1073,2005,4.1,59518
1074,1946,3.7,2328
1075,2001,3.0,5829
1076,2004,3.8,475
1077,1945,3.6,614
1078,2000,2.6,331
1079,1991,3.3,313
1080,2002,2.9,3944
1081,2002,2.7,177
1082,1997,2.8,161
1083,1962,3.0,349
1084,2001,3.8,1701
1085,2003,3.1,483
1086,1938,3.8,1554
1087,1994,3.1,2166
1088,1980,2.9,245
1089,2000,3.7,2083
1090,1997,3.5,113
1091,1980,2.7,93
1092,1996,3.3,4434
1093,1980,2.6,110
1094,2002,3.5,7840
1095,2004,2.6,197
1096,1989,3.3,11847
1097,2005,2.8,409
1098,1965,4.1,5945
1099,1983,3.3,464
1100,2000,2.3,6084
1101,1976,3.2,490
1102,2001,3.6,73337
1103,1997,3.8,3622
1104,1983,3.1,8662
1105,1993,3.1,1796
1106,1998,2.5,115
1107,2004,3.3,122
1108,2000,3.3,426
1109,1964,4.1,158
1110,2003,4.1,98700
1111,1972,3.6,2041
1112,1957,3.3,167
1113,1998,3.3,371
1114,1929,3.2,1267
1115,1991,2.8,476
1116,1984,3.1,3645
1117,1991,2.0,208
1118,1980,3.8,1232
1119,2005,2.9,217
1120,1982,3.3,3539
1121,2001,3.1,1285
1122,1980,2.5,176
1123,1993,3.8,7917
1124,1932,3.2,330
1125,2001,1.9,75
1126,2003,3.8,3526
1127,1973,1.9,240
1128,1971,2.6,880
1129,1935,3.8,4977
1130,1991,3.4,3398
1131,1965,2.0,146
1132,1994,3.3,3007
1133,2003,1.9,189
1134,2005,3.5,5013
1135,1996,4.2,194
1136,1993,3.7,303
1137,2004,3.0,591
1138,2003,2.9,20758
1139,2003,4.2,1298
1140,1996,3.1,4261
1141,2004,3.0,201
1142,1981,3.3,3851
1143,1943,3.2,635
1144,1991,4.0,79845
1145,2001,3.2,140154
1146,1983,3.1,415
1147,1983,2.7,140
1148,1981,3.8,19401
1149,2001,3.7,267
1150,2000,2.8,312
1151,2001,2.9,5756
1152,1999,2.8,96
1153,1943,2.9,126
1154,1971,3.0,199
1155,1980,3.8,1788
1156,2004,2.2,370
1157,1997,2.8,1206
1158,2004,3.4,1710
1159,1961,3.3,86
1160,1999,3.4,3734
1161,2000,3.0,120
1162,2003,3.4,284
1163,1984,3.5,9661
1164,1980,3.2,898
1165,1999,2.9,861
1166,1950,2.8,83
1167,1999,3.2,1275
1168,2004,3.0,383
1169,1997,3.8,114
1170,1997,3.1,1025
1171,2001,3.1,620
1172,1998,2.8,2570
1173,1999,3.8,3867
1174,1993,4.0,35537
1175,1984,3.4,12683
1176,2001,3.6,7676
1177,2004,2.1,122
1178,1932,3.4,122
1179,1997,3.7,1913
1180,2001,4.0,108771
1181,2003,3.1,168
1182,1978,3.4,618
1183,1980,2.1,155
1184,2004,3.1,134
1185,1998,2.2,130
1186,1939,3.0,668
1187,1971,3.3,894
1188,2002,2.9,133
1189,1986,3.2,172
1190,1996,3.1,192
1191,1997,3.3,1749
1192,2004,2.9,156
1193,1998,3.0,2923
1194,1997,3.1,333
1195,1988,3.4,1005
1196,2004,3.5,108
1197,1999,2.6,158
1198,1971,3.2,60
1199,1975,2.9,124
1200,1999,2.9,6191
1201,1991,3.2,2988
1202,1983,3.8,78878
1203,1963,3.5,1345
1204,1990,3.2,121
1205,1994,1.8,99
1206,2005,3.4,369
